bank_line_id,narration_text,amount,value_date
BNK_3037,CMS/RAZORPAY/TXN_2037/ORD_1037,7958.9,2026-03-11
BNK_3016,CMS/RAZORPAY/TXN_2016/ORD_1016,9112.16,2026-03-04
BNK_3031,CMS/RAZORPAY/TXN_2031/ORD_1031,12812.83,2026-03-06
BNK_3052,CMS/RAZORPAY/TXN_2052/ORD_1052,9721.14,2026-03-12
BNK_3015,CMS/RAZORPAY/TXN_2015/ORD_1015,5729.14,2026-03-05
BNK_3019,CMS/RAZORPAY/TXN_2019/ORD_1019,11885.87,2026-03-08
BNK_3055,CMS/RAZORPAY/TXN_2055/ORD_1055,14269.44,2026-03-06
BNK_3010,CMS/RAZORPAY/TXN_2010/ORD_1010,14265.38,2026-03-08
BNK_3006,CMS/RAZORPAY/TXN_2006/ORD_1006,11231.25,2026-03-04
BNK_BATCH_1,RAZORPAY NODAL PAYOUT BATCH_1,8913.17,2026-03-13
BNK_3030,CMS/RAZORPAY/TXN_2030/ORD_1030,534.15,2026-03-06
BNK_3020,CMS/RAZORPAY/TXN_2020/ORD_1020,3475.25,2026-03-11
BNK_3009,CMS/RAZORPAY/TXN_2009/ORD_1009,9035.63,2026-03-02
BNK_3005,CMS/RAZORPAY/TXN_2005/ORD_1005,3609.16,2026-03-11
BNK_3041,CMS/RAZORPAY/TXN_2041/ORD_1041,3669.42,2026-03-07
BNK_3004,CMS/RAZORPAY/TXN_2004/ORD_1004,7642.92,2026-03-02
BNK_3032,CMS/RAZORPAY/TXN_2032/ORD_1032,5782.0,2026-03-04
BNK_3011,CMS/RAZORPAY/TXN_2011/ORD_1011,12230.75,2026-03-11
BNK_3048,CMS/RAZORPAY/TXN_2048/ORD_1048,12718.23,2026-03-05
BNK_3014,CMS/RAZORPAY/TXN_2014/ORD_1014,4423.7,2026-03-12
BNK_3049,CMS/RAZORPAY/TXN_2049/ORD_1049,10798.11,2026-03-05
BNK_3045,CMS/RAZORPAY/TXN_2045/ORD_1045,8122.56,2026-03-11
BNK_3027,CMS/RAZORPAY/TXN_2027/ORD_1027,5891.09,2026-03-09
BNK_3036,CMS/RAZORPAY/TXN_2036/ORD_1036,9828.82,2026-03-10
BNK_3029,CMS/RAZORPAY/TXN_2029/ORD_1029,2067.54,2026-03-08
BNK_3024,CMS/RAZORPAY/TXN_2024/ORD_1024,14608.14,2026-03-04
BNK_3053,CMS/RAZORPAY/TXN_2053/ORD_1053,2842.8,2026-03-12
BNK_3001_DUP,CMS/RAZORPAY/TXN_2001/ORD_1001,9541.08,2026-03-02
BNK_3057,CMS/RAZORPAY/TXN_2057/ORD_1057,3139.65,2026-03-05
BNK_3034,CMS/RAZORPAY/TXN_2034/ORD_1034,3878.32,2026-03-05
BNK_3001,CMS/RAZORPAY/TXN_2001/ORD_1001,9541.08,2026-03-02
BNK_3040,CMS/RAZORPAY/TXN_2040/ORD_1040,13224.75,2026-03-09
BNK_3046,CMS/RAZORPAY/TXN_2046/ORD_1046,11596.68,2026-03-10
BNK_3047,CMS/RAZORPAY/TXN_2047/ORD_1047,9817.95,2026-03-10
BNK_3013,CMS/RAZORPAY/TXN_2013/ORD_1013,14436.77,2026-03-05
BNK_3025,CMS/RAZORPAY/TXN_2025/ORD_1025,11188.41,2026-03-03
BNK_3051,CMS/RAZORPAY/TXN_2051/ORD_1051,7038.0,2026-03-05
BNK_3058,CMS/RAZORPAY/TXN_2058/ORD_1058,10948.55,2026-03-02
BNK_3056,CMS/RAZORPAY/TXN_2056/ORD_1056,6401.43,2026-03-10
BNK_3043,CMS/RAZORPAY/TXN_2043/ORD_1043,3729.52,2026-03-02
BNK_3021,CMS/RAZORPAY/TXN_2021/ORD_1021,9767.77,2026-03-08
BNK_BATCH_2,RAZORPAY NODAL PAYOUT BATCH_2,10575.83,2026-03-13
BNK_3028,CMS/RAZORPAY/TXN_2028/ORD_1028,10119.52,2026-03-03
BNK_3039,CMS/RAZORPAY/TXN_2039/ORD_1039,14577.33,2026-03-12
BNK_3007,CMS/RAZORPAY/TXN_2007/ORD_1007,4422.24,2026-03-05
BNK_3003,CMS/RAZORPAY/TXN_2003/ORD_1003,938.17,2026-03-03
