transaction_id,order_id,amount,fee,settled_amount,settlement_date
TXN_2029,ORD_1029,2117.51,49.97,2067.54,2026-03-08
TXN_2019,ORD_1019,12173.16,287.29,11885.87,2026-03-08
TXN_2041,ORD_1041,3758.11,88.69,3669.42,2026-03-07
TXN_2060,ORD_1060,4843.12,114.3,4728.82,2026-03-13
TXN_2025,ORD_1025,11458.84,270.43,11188.41,2026-03-03
TXN_2018,ORD_1018,12721.35,300.22,12421.13,2026-03-02
TXN_2034,ORD_1034,3972.06,93.74,3878.32,2026-03-05
TXN_2001,ORD_1001,9771.69,230.61,9541.08,2026-03-02
TXN_2037,ORD_1037,8151.27,192.37,7958.9,2026-03-11
TXN_2064,ORD_1064,4738.83,111.84,4626.99,2026-03-13
TXN_2063,ORD_1063,3477.53,82.07,3395.46,2026-03-13
TXN_2021,ORD_1021,10003.86,236.09,9767.77,2026-03-08
TXN_2017,ORD_1017,7202.77,169.99,7032.78,2026-03-06
TXN_2033,ORD_1033,7584.78,179.0,7405.78,2026-03-03
TXN_2047,ORD_1047,10055.25,237.3,9817.95,2026-03-07
TXN_2040,ORD_1040,13544.4,319.65,13224.75,2026-03-09
TXN_2039,ORD_1039,14929.67,352.34,14577.33,2026-03-12
TXN_2032,ORD_1032,5921.75,139.75,5782.0,2026-03-04
TXN_2013,ORD_1013,14785.71,348.94,14436.77,2026-03-05
TXN_2004,ORD_1004,7827.65,184.73,7642.92,2026-03-02
TXN_2031,ORD_1031,13122.52,309.69,12812.83,2026-03-06
TXN_2049,ORD_1049,11059.1,260.99,10798.11,2026-03-03
TXN_2008,ORD_1008,1844.81,43.54,1801.27,2026-03-03
TXN_2030,ORD_1030,547.06,12.91,534.15,2026-03-06
TXN_2022,ORD_1022,4340.76,102.44,4238.32,2026-03-05
TXN_2050,ORD_1050,8276.14,195.32,8080.82,2026-03-04
TXN_2043,ORD_1043,3819.66,90.14,3729.52,2026-03-02
TXN_2026,ORD_1026,11985.15,282.85,11702.3,2026-03-08
TXN_2062,ORD_1062,2615.1,61.72,2553.38,2026-03-13
TXN_2046,ORD_1046,11876.98,280.3,11596.68,2026-03-08
TXN_2006,ORD_1006,11502.71,271.46,11231.25,2026-03-04
TXN_2002,ORD_1002,3736.56,88.18,3648.38,2026-03-03
TXN_2053,ORD_1053,2911.51,68.71,2842.8,2026-03-09
TXN_2012,ORD_1012,10716.29,252.9,10463.39,2026-03-02
TXN_2011,ORD_1011,12526.37,295.62,12230.75,2026-03-11
TXN_2042,ORD_1042,9032.38,213.16,8819.22,2026-03-02
TXN_2051,ORD_1051,7208.11,170.11,7038.0,2026-03-03
TXN_2027,ORD_1027,6033.48,142.39,5891.09,2026-03-09
TXN_2052,ORD_1052,9956.1,234.96,9721.14,2026-03-10
TXN_2044,ORD_1044,7955.26,187.74,7767.52,2026-03-06
TXN_2007,ORD_1007,4529.13,106.89,4422.24,2026-03-05
TXN_2016,ORD_1016,9332.4,220.24,9112.16,2026-03-04
TXN_2014,ORD_1014,4530.62,106.92,4423.7,2026-03-12
TXN_2023,ORD_1023,13518.43,319.03,13199.4,2026-03-08
TXN_2048,ORD_1048,13025.63,307.4,12718.23,2026-03-02
TXN_2055,ORD_1055,14786.98,517.54,14269.44,2026-03-06
TXN_2020,ORD_1020,3559.25,84.0,3475.25,2026-03-11
TXN_2056,ORD_1056,6633.61,232.18,6401.43,2026-03-10
TXN_2009,ORD_1009,9254.03,218.4,9035.63,2026-03-02
TXN_2028,ORD_1028,10364.11,244.59,10119.52,2026-03-03
TXN_2059,ORD_1059,3011.4,71.07,2940.33,2026-03-13
TXN_2036,ORD_1036,10066.39,237.57,9828.82,2026-03-10
TXN_2038,ORD_1038,13969.25,329.67,13639.58,2026-03-05
TXN_2024,ORD_1024,14961.22,353.08,14608.14,2026-03-04
TXN_2054,ORD_1054,13585.42,475.49,13109.93,2026-03-04
TXN_2003,ORD_1003,960.85,22.68,938.17,2026-03-03
TXN_2035,ORD_1035,11112.66,262.26,10850.4,2026-03-03
TXN_2010,ORD_1010,14610.18,344.8,14265.38,2026-03-08
TXN_2058,ORD_1058,11345.65,397.1,10948.55,2026-03-02
TXN_2045,ORD_1045,8318.89,196.33,8122.56,2026-03-11
TXN_2057,ORD_1057,3253.52,113.87,3139.65,2026-03-05
TXN_2061,ORD_1061,1274.09,30.07,1244.02,2026-03-13
TXN_2005,ORD_1005,3696.39,87.23,3609.16,2026-03-11
TXN_2015,ORD_1015,5867.62,138.48,5729.14,2026-03-05
